station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,sum
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Nov-99,0,14.5,0.3,0,0.1,0.3,0,0,1.5,0,0,0,0.1,0,3.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,23.3
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Dec-99,0,0,0,0.6,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0.1,0,0,0,0,0,0,2,1.1,0,0,-,-,8.9
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.4,1.5,0,2.6,0.3,0,0,45.8
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Apr-00,0,0,0,0,0,0,0,0,0,26.5,1.1,12.7,0,0,2,0,0.3,0,49,0,0,30,0,0,0,0,0,0,42.6,3.5,-,167.7
300202-แม่สะเรียง จ.แม่ฮ่องสอน,May-00,0.7,0,14.5,0,0,0,0,0,0,0,40.6,22.4,15.7,21.4,8.4,9.2,6.1,18.5,27,2.7,5.5,18.4,4.4,4.3,11.1,7.8,0.2,0,12.2,0,78.2,329.3
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jun-00,0.4,0,4.4,11.7,0.4,0.5,3.7,2.1,1.5,2.3,2.2,5.9,15.4,12.2,19.4,0.2,9.1,0.5,0,2.6,26.6,4.1,0.6,2,3.9,3.6,3.7,5.6,0.2,27.1,-,171.9
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jul-00,3.1,0,0,0,1.7,0,0.7,2.3,1.5,4.2,10.7,4.1,4.2,1.8,16.9,8.7,7.2,0.8,6.4,25.9,7.8,4,1.2,2.3,2.3,11.4,3.1,0,3.4,2.9,0,138.6
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Aug-00,0,6.6,2.2,5.1,2.4,4.1,10.7,8.5,12.9,1.3,0,22.6,17.1,1.8,0,0.1,0.1,21.3,0.1,3.2,0,0.1,16.6,11.9,0.2,0,5.3,5.5,12,16.9,9.4,198
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Sep-00,3,5,5.7,4.8,10.4,0.1,5.2,0,0,23.6,39.4,1.2,0,8.6,7.1,0,0,0,0,1.2,3.1,0.5,0,0,0.2,0,0.4,0.4,42.8,1.6,-,164.3
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Oct-00,0,0,0,24,6,16.9,16,0,16.5,3.1,0,0,0,0.1,0,0,3.1,0,21.6,0,0,30.5,0.7,0,0,0,0,0,0,48,3.5,190
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Nov-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,-,0.8
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Dec-00,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Jan-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
300202-แม่สะเรียง จ.แม่ฮ่องสอน,Feb-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
